cluster_id,cluster_size,risk_level,http_method,operationId,description,avg_internal_distance,max_internal_distance,nearest_cluster_distance
1,3,HIGH,Post,PostAccountsAccountBankAccountsId,"Updates the metadata, account holder name, account holder type of a bank account belonging to a connected account and optionally sets it as the default for its currency. Other bank account details are not editable by design. You can only update bank accounts when account.controller.requirement_collection is application, which includes Custom accounts. You can re-enable a disabled bank account by performing an update call without providing any arguments or changes.",0.086870,0.141849,0.273897
1,3,HIGH,Post,PostAccountsAccountExternalAccountsId,"Updates the metadata, account holder name, account holder type of a bank account belonging to a connected account and optionally sets it as the default for its currency. Other bank account details are not editable by design. You can only update bank accounts when account.controller.requirement_collection is application, which includes Custom accounts. You can re-enable a disabled bank account by performing an update call without providing any arguments or changes.",0.086870,0.141849,0.273897
1,3,HIGH,Post,PostExternalAccountsId,"Updates the metadata, account holder name, account holder type of a bank account belonging to a connected account and optionally sets it as the default for its currency. Other bank account details are not editable by design. You can only update bank accounts when account.controller.requirement_collection is application, which includes Custom accounts. You can re-enable a disabled bank account by performing an update call without providing any arguments or changes.",0.086870,0.141849,0.273897
2,3,HIGH,Post,PostChargesChargeRefund,"When you create a new refund, you must specify either a Charge or a PaymentIntent object. This action refunds a previously created charge that’s not refunded yet. Funds are refunded to the credit or debit card that’s originally charged. You can optionally refund only part of a charge. You can repeat this until the entire charge is refunded. After you entirely refund a charge, you can’t refund it again. This method raises an error when it’s called on an already-refunded charge, or when you attempt to refund more money than is left on a charge.",0.054752,0.085705,0.310648
2,3,HIGH,Post,PostChargesChargeRefunds,"When you create a new refund, you must specify a Charge or a PaymentIntent object on which to create it. Creating a new refund will refund a charge that has previously been created but not yet refunded. Funds will be refunded to the credit or debit card that was originally charged. You can optionally refund only part of a charge. You can do so multiple times, until the entire charge has been refunded. Once entirely refunded, a charge can’t be refunded again. This method will raise an error when called on an already-refunded charge, or when trying to refund more money than is left on a charge.",0.054752,0.085705,0.310648
2,3,HIGH,Post,PostRefunds,"When you create a new refund, you must specify a Charge or a PaymentIntent object on which to create it. Creating a new refund will refund a charge that has previously been created but not yet refunded. Funds will be refunded to the credit or debit card that was originally charged. You can optionally refund only part of a charge. You can do so multiple times, until the entire charge has been refunded. Once entirely refunded, a charge can’t be refunded again. This method will raise an error when called on an already-refunded charge, or when trying to refund more money than is left on a charge.",0.054752,0.085705,0.310648
3,3,HIGH,Post,PostCustomersCustomerBankAccounts,"When you create a new credit card, you must specify a customer or recipient on which to create it. If the card’s owner has no default card, then the new card will become the default. However, if the owner already has a default, then it will not change. To change the default, you should update the customer to have a new default_source.",0.038374,0.046987,0.404867
3,3,HIGH,Post,PostCustomersCustomerCards,"When you create a new credit card, you must specify a customer or recipient on which to create it. If the card’s owner has no default card, then the new card will become the default. However, if the owner already has a default, then it will not change. To change the default, you should update the customer to have a new default_source.",0.038374,0.046987,0.404867
3,3,HIGH,Post,PostCustomersCustomerSources,"When you create a new credit card, you must specify a customer or recipient on which to create it. If the card’s owner has no default card, then the new card will become the default. However, if the owner already has a default, then it will not change. To change the default, you should update the customer to have a new default_source.",0.038374,0.046987,0.404867
4,3,HIGH,Post,PostTestHelpersTreasuryInboundTransfersIdFail,Transitions a test mode created InboundTransfer to the failed status. The InboundTransfer must already be in the processing state.,0.077053,0.100172,0.108121
4,3,HIGH,Post,PostTestHelpersTreasuryOutboundTransfersOutboundTransferFail,Transitions a test mode created OutboundTransfer to the failed status. The OutboundTransfer must already be in the processing state.,0.077053,0.100172,0.108121
4,3,HIGH,Post,PostTestHelpersTreasuryOutboundPaymentsIdFail,Transitions a test mode created OutboundPayment to the failed status. The OutboundPayment must already be in the processing state.,0.077053,0.100172,0.108121
5,3,HIGH,Post,PostTestHelpersTreasuryOutboundPaymentsIdPost,Transitions a test mode created OutboundPayment to the posted status. The OutboundPayment must already be in the processing state.,0.093115,0.144130,0.082268
5,3,HIGH,Post,PostTestHelpersTreasuryOutboundPaymentsIdReturn,Transitions a test mode created OutboundPayment to the returned status. The OutboundPayment must already be in the processing state.,0.093115,0.144130,0.082268
5,3,HIGH,Post,PostTestHelpersTreasuryOutboundTransfersOutboundTransferPost,Transitions a test mode created OutboundTransfer to the posted status. The OutboundTransfer must already be in the processing state.,0.093115,0.144130,0.082268
6,2,HIGH,Get,GetAccount,Retrieves the details of an account.,0.074356,0.074356,0.242832
6,2,HIGH,Get,GetAccountsAccount,Retrieves the details of an account.,0.074356,0.074356,0.242832
7,2,HIGH,Post,PostAccountsAccountBankAccounts,Create an external account for a given account.,0.073788,0.073788,0.255435
7,2,HIGH,Post,PostAccountsAccountExternalAccounts,Create an external account for a given account.,0.073788,0.073788,0.255435
8,2,HIGH,Delete,DeleteAccountsAccountBankAccountsId,Delete a specified external account for a given account.,0.061115,0.061115,0.171434
8,2,HIGH,Delete,DeleteAccountsAccountExternalAccountsId,Delete a specified external account for a given account.,0.061115,0.061115,0.171434
9,2,HIGH,Get,GetAccountsAccountBankAccountsId,Retrieve a specified external account for a given account.,0.061743,0.061743,0.171434
9,2,HIGH,Get,GetAccountsAccountExternalAccountsId,Retrieve a specified external account for a given account.,0.061743,0.061743,0.171434
10,2,HIGH,Get,GetAccountsAccountPeople,"Returns a list of people associated with the account’s legal entity. The people are returned sorted by creation date, with the most recent people appearing first.",0.026221,0.026221,0.344107
10,2,HIGH,Get,GetAccountsAccountPersons,"Returns a list of people associated with the account’s legal entity. The people are returned sorted by creation date, with the most recent people appearing first.",0.026221,0.026221,0.344107
11,2,HIGH,Post,PostAccountsAccountPeople,Creates a new person.,0.033706,0.033706,0.255541
11,2,HIGH,Post,PostAccountsAccountPersons,Creates a new person.,0.033706,0.033706,0.255541
12,2,HIGH,Delete,DeleteAccountsAccountPeoplePerson,"Deletes an existing person’s relationship to the account’s legal entity. Any person with a relationship for an account can be deleted through the API, except if the person is the account_opener. If your integration is using the executive parameter, you cannot delete the only verified executive on file.",0.009796,0.009796,0.393080
12,2,HIGH,Delete,DeleteAccountsAccountPersonsPerson,"Deletes an existing person’s relationship to the account’s legal entity. Any person with a relationship for an account can be deleted through the API, except if the person is the account_opener. If your integration is using the executive parameter, you cannot delete the only verified executive on file.",0.009796,0.009796,0.393080
13,2,HIGH,Get,GetAccountsAccountPeoplePerson,Retrieves an existing person.,0.028608,0.028608,0.203414
13,2,HIGH,Get,GetAccountsAccountPersonsPerson,Retrieves an existing person.,0.028608,0.028608,0.203414
14,2,HIGH,Post,PostAccountsAccountPeoplePerson,Updates an existing person.,0.027952,0.027952,0.203414
14,2,HIGH,Post,PostAccountsAccountPersonsPerson,Updates an existing person.,0.027952,0.027952,0.203414
15,2,HIGH,Get,GetApplePayDomains,List apple pay domains.,0.121082,0.121082,0.188105
