operationId,nn_distance,description
PostSigmaSavedQueriesId,0.5123184708166911,Update an existing Sigma query that previously exists
PostSubscriptionsSubscriptionMigrate,0.5062214700752299,Upgrade the billing_mode of an existing subscription.
PostSubscriptionsSubscriptionResume,0.4990270441415702,"Initiates resumption of a paused subscription, optionally resetting the billing cycle anchor and creating prorations. If a resumption invoice is generated, it must be paid or marked uncollectible before the subscription will be unpaused. If payment succeeds the subscription will become active, and if payment fails the subscription will be past_due. The resumption invoice will void automatically if not paid by the expiration date."
PostTerminalConnectionTokens,0.4950790087368351,"To connect to a reader the Stripe Terminal SDK needs to retrieve a short-lived connection token from Stripe, proxied through your server. On your backend, add an endpoint that creates and returns a connection token."
PostTokens,0.47907518677919614,"Creates a single-use token that represents a bank account’s details. You can use this token with any v1 API method in place of a bank account dictionary. You can only use this token once. To do so, attach it to a connected account where controller.requirement_collection is application, which includes Custom accounts."
PostPlans,0.46750587386545395,You can now model subscriptions more flexibly using the Prices API. It replaces the Plans API and is backwards compatible to simplify your migration.
DeletePlansPlan,0.46750587386545395,Deleting plans means new subscribers can’t be added. Existing subscribers aren’t affected.
PostTerminalReadersReaderSetReaderDisplay,0.45672411591749507,Sets reader display to show cart details.
GetConfirmationTokensConfirmationToken,0.4557492522512354,Retrieves an existing ConfirmationToken object
PostPaymentIntentsIntentApplyCustomerBalance,0.4426022315390903,Manually reconcile the remaining amount for a customer_balance PaymentIntent.
PostReviewsReviewApprove,0.4404814074822099,"Approves a Review object, closing it and removing it from the list of reviews."
PostFiles,0.44012765477493565,"To upload a file to Stripe, you need to send a request of type multipart/form-data. Include the file you want to upload in the request, and the parameters for creating a file. All of Stripe’s officially supported Client libraries support sending multipart/form-data."
GetPrices,0.43740417846054336,"Returns a list of your active prices, excluding inline prices. For the list of inactive prices, set active to false."
PostPlansPlan,0.4353691180849114,"Updates the specified plan by setting the values of the parameters passed. Any parameters not provided are left unchanged. By design, you cannot change a plan’s ID, amount, currency, or billing cycle."
PostCustomersCustomerFundingInstructions,0.43256622911327036,"Retrieve funding instructions for a customer cash balance. If funding instructions do not yet exist for the customer, new funding instructions will be created. If funding instructions have already been created for a given customer, the same funding instructions will be retrieved. In other words, we will return the same funding instructions each time."
PostInvoicesInvoiceMarkUncollectible,0.4322877122364903,Marking an invoice as uncollectible is useful for keeping track of bad debts that can be written off for accounting purposes.
DeleteWebhookEndpointsWebhookEndpoint,0.431397762756519,You can also delete webhook endpoints via the webhook endpoint management page of the Stripe dashboard.
PostPayoutsPayoutReverse,0.42645787408215086,"Reverses a payout by debiting the destination bank account. At this time, you can only reverse payouts for connected accounts to US bank accounts. If the payout is manual and in the pending status, use /v1/payouts/:id/cancel instead. By requesting a reversal through /v1/payouts/:id/reverse, you confirm that the authorized signatory of the selected bank account authorizes the debit on the bank account and that no other authorization is required."
PostInvoicesCreatePreview,0.42056021967315027,"At any time, you can preview the upcoming invoice for a subscription or subscription schedule. This will show you all the charges that are pending, including subscription renewal charges, invoice item charges, etc. It will also show you any discounts that are applicable to the invoice. You can also preview the effects of creating or updating a subscription or subscription schedule, including a preview of any prorations that will take place. To ensure that the actual proration is calculated exactly the same as the previewed proration, you should pass the subscription_details.proration_date parameter when doing the actual subscription update. The recommended way to get only the prorations being previewed on the invoice is to consider line items where parent.subscription_item_details.proration is true. Note that when you are viewing an upcoming invoice, you are simply viewing a preview – the invoice has not yet been created. As such, the upcoming invoice will not show up in invoice listing calls, and you cannot use the API to pay or edit the invoice. If you want to change the amount that your customer will be billed, you can add, remove, or update pending invoice items, or update the customer’s discount. Note: Currency conversion calculations use the latest exchange rates. Exchange rates may vary between the time of the preview and the time of the actual invoice creation. Learn more"
PostTestHelpersConfirmationTokens,0.4200612019831367,Creates a test mode Confirmation Token server side for your integration tests.
PostSources,0.4195602735103955,Creates a new source object.
PostSourcesSourceVerify,0.4195602735103955,Verify a given source.
PostReportingReportRuns,0.4162420489608498,Creates a new object and begin running the report. (Certain report types require a live-mode API key.)
PostCreditNotes,0.415929971936426,"Issue a credit note to adjust the amount of a finalized invoice. A credit note will first reduce the invoice’s amount_remaining (and amount_due), but not below zero. This amount is indicated by the credit note’s pre_payment_amount. The excess amount is indicated by post_payment_amount, and it can result in any combination of the following: Refunds: create a new refund (using refund_amount) or link existing refunds (using refunds). Customer balance credit: credit the customer’s balance (using credit_amount) which will be automatically applied to their next invoice when it’s finalized. Outside of Stripe credit: record the amount that is or will be credited outside of Stripe (using out_of_band_amount). The sum of refunds, customer balance credits, and outside of Stripe credits must equal the post_payment_amount. You may issue multiple credit notes for an invoice. Each credit note may increment the invoice’s pre_payment_credit_notes_amount, post_payment_credit_notes_amount, or both, depending on the invoice’s amount_remaining at the time of credit note creation."
PostTestHelpersIssuingAuthorizationsAuthorizationFraudChallengesRespond,0.4113371505498249,"Respond to a fraud challenge on a testmode Issuing authorization, simulating either a confirmation of fraud or a correction of legitimacy."
GetSubscriptions,0.40858172368047907,"By default, returns a list of subscriptions that have not been canceled. In order to list canceled subscriptions, specify status=canceled."
GetMandatesMandate,0.4024734289248194,Retrieves a Mandate object.
GetSourcesSourceMandateNotificationsMandateNotification,0.4024734289248194,Retrieves a new Source MandateNotification.
GetTransfers,0.40113162419967074,"Returns a list of existing transfers sent to connected accounts. The transfers are returned in sorted order, with the most recently created transfers appearing first."
PostTestHelpersTestClocksTestClockAdvance,0.4010800497260475,Starts advancing a test clock to a specified time in the future. Advancement is done when status changes to Ready.
GetQuotesQuotePdf,0.39837293469228097,Download the PDF for a finalized quote. Explanation for special handling can be found here
GetEvents,0.3980809137677179,"List events, going back up to 30 days. Each event data is rendered according to Stripe API version at its creation time, specified in event object api_version attribute (not according to your current Stripe API version or Stripe-Version header)."
GetEventsId,0.3980809137677179,"Retrieves the details of an event if it was created in the last 30 days. Supply the unique identifier of the event, which you might have received in a webhook."
GetAccounts,0.3965915398773955,"Returns a list of accounts connected to your platform via Connect. If you’re not a platform, the list is empty."
