operationId,character_count,top_level
PostCheckoutSessions,43830,false
PostPaymentIntents,43242,true
PostPaymentIntentsIntentConfirm,38784,false
PostPaymentIntentsIntent,38530,true
PostIssuingCardholders,31019,false
PostPaymentMethodConfigurationsConfiguration,30892,true
PostIssuingCards,30890,false
PostPaymentMethodConfigurations,30793,true
PostIssuingCardholdersCardholder,30574,false
PostIssuingCardsCard,29825,false
PostAccounts,29227,true
PostAccountsAccount,27473,true
PostTaxRegistrations,25525,false
PostSubscriptionsSubscriptionExposedId,24969,true
PostSubscriptions,22590,true
PostSetupIntents,22249,true
PostCustomersCustomerSubscriptionsSubscriptionExposedId,21829,false
PostCustomersCustomerSubscriptions,20430,false
PostPaymentMethods,19982,true
PostInvoicesCreatePreview,19643,false
PostSetupIntentsIntentConfirm,18979,false
PostSetupIntentsIntent,18881,true
PostPaymentLinks,18023,true
PostTokens,17027,true
PostTestHelpersIssuingAuthorizations,16772,false
PostInvoices,16464,true
PostInvoicesInvoice,16149,true
PostPaymentLinksPaymentLink,14387,true
PostTestHelpersIssuingTransactionsCreateUnlinkedRefund,13705,false
PostTestHelpersIssuingTransactionsCreateForceCapture,13678,false
PostReportingReportRuns,12937,false
PostWebhookEndpoints,11470,true
PostSubscriptionSchedules,11079,true
PostTestHelpersConfirmationTokens,11073,false
PostSubscriptionSchedulesSchedule,10171,true
PostAccountsAccountPersonsPerson,10167,false
PostAccountsAccountPeoplePerson,10166,false
PostAccountsAccountPersons,10048,false
PostAccountsAccountPeople,10047,false
PostCustomersCustomer,9917,true
PostQuotes,9654,true
PostTerminalConfigurationsConfiguration,9398,false
PostCharges,9286,true
PostWebhookEndpointsWebhookEndpoint,9215,true
PostTerminalConfigurations,8971,false
PostQuotesQuote,8196,true
PostPrices,7867,true
PostInvoicesInvoiceLinesLineItemId,7823,false
PostAccountSessions,7714,true
PostCustomers,7582,true
GetCreditNotesPreviewLines,7230,false
PostIssuingDisputes,7111,false
PostDisputesDispute,7105,true
PostSources,6829,true
PostInvoiceitems,6754,true
PostSubscriptionItemsItem,6681,true
PostIssuingDisputesDispute,6620,false
PostChargesChargeDispute,6492,false
PostPlans,6343,true
PostSubscriptionItems,6315,true
PostProducts,5926,true
PostCreditNotes,5856,true
PostBillingPortalConfigurationsConfiguration,5853,false
GetSubscriptions,5806,true
PostInvoiceitemsInvoiceitem,5738,true
PostBillingPortalConfigurations,5530,false
PostTaxCalculations,5471,false
GetCreditNotesPreview,5354,false
PostInvoicesInvoiceUpdateLines,5218,false
PostSourcesSource,5107,true
GetBalanceTransactions,5062,true
GetBalanceHistory,5057,false
PostTreasuryOutboundPayments,4971,false
PostInvoicesInvoiceAddLines,4819,false
PostCoupons,4782,true
PostProductsId,4700,true
PostBillingPortalSessions,4660,false
GetPrices,4549,true
PostTestHelpersIssuingAuthorizationsAuthorizationCapture,4476,false
GetSubscriptionSchedules,4461,true
PostPaymentIntentsIntentIncrementAuthorization,4408,false
PostTerminalLocationsLocation,4324,false
GetIssuingCards,4284,false
GetInvoices,4267,true
PostTreasuryFinancialAccountsFinancialAccount,4215,false
GetCheckoutSessions,4146,false
GetTreasuryTransactions,4135,false
PostAccountsAccountExternalAccountsId,4111,false
PostAccountsAccountBankAccountsId,4107,false
GetEvents,4083,true
PostChargesChargeRefunds,4066,false
PostPaymentIntentsIntentCapture,4061,false
GetCustomersCustomerPaymentMethods,3993,false
PostExternalAccountsId,3988,true
PostCheckoutSessionsSession,3979,false
PostChargesCharge,3977,true
PostRefunds,3975,true
GetProducts,3923,true
GetBillingMetersIdEventSummaries,3909,false
GetTreasuryTransactionEntries,3903,false
PostTreasuryFinancialAccounts,3880,false
GetSetupIntents,3854,true
GetIssuingCardholders,3849,false
GetPaymentMethods,3848,true
GetInvoiceitems,3830,true
PostCustomersCustomerBankAccounts,3822,false
PostCustomersCustomerSources,3817,false
PostCustomersCustomerCards,3815,false
PostChargesChargeRefund,3800,false
PostTreasuryFinancialAccountsFinancialAccountFeatures,3797,false
GetPayouts,3785,true
PostIdentityVerificationSessions,3765,false
PostPricesPrice,3739,true
GetFinancialConnectionsTransactions,3720,false
GetPromotionCodes,3713,true
PostPayouts,3702,true
GetIdentityVerificationReports,3696,false
GetIdentityVerificationSessions,3671,false
GetIssuingAuthorizations,3662,false
GetTreasuryOutboundPayments,3662,false
PostTerminalLocations,3660,false
GetFiles,3659,true
GetIssuingTransactions,3641,false
PostChargesChargeCapture,3638,false
PostPaymentMethodsPaymentMethod,3626,true
GetTopups,3562,true
GetCharges,3512,true
PostTaxIds,3484,true
GetCustomers,3474,true
GetIssuingPersonalizationDesigns,3466,false
PostIssuingPersonalizationDesignsPersonalizationDesign,3458,false
GetRadarValueListItems,3442,false
GetInvoicePayments,3439,true
GetTerminalReaders,3434,false
GetTransfers,3404,true
GetIssuingDisputes,3403,false
PostCustomersCustomerBankAccountsId,3402,false
GetRadarValueLists,3398,false
PostCustomersCustomerSourcesId,3397,false
PostCustomersCustomerCardsId,3395,false
GetRadarEarlyFraudWarnings,3364,false
GetTreasuryReceivedCredits,3349,false
GetRefunds,3343,true
GetShippingRates,3340,true
GetPlans,3339,true
PostTestHelpersIssuingAuthorizationsAuthorizationFinalizeAmount,3309,false
GetTaxRates,3308,true
GetTreasuryDebitReversals,3288,false
GetFinancialConnectionsAccounts,3269,false
GetLinkedAccounts,3255,true
PostCustomersCustomerTaxIds,3254,false
GetIssuingTokens,3252,false
GetDisputes,3251,true
PostPromotionCodes,3237,true
GetSetupAttempts,3235,true
GetCreditNotes,3218,true
PostShippingRates,3206,true
GetApplicationFees,3202,true
GetFileLinks,3202,true
GetPaymentIntents,3183,true
GetAccountsAccountPersons,3165,false
GetAccountsAccountPeople,3164,false
GetQuotes,3158,true
PostTreasuryOutboundTransfers,3140,false
PostBillingCreditGrants,3127,false
GetCustomersCustomerCashBalanceTransactions,3123,false
GetTreasuryCreditReversals,3112,false
PostAccountsAccountExternalAccounts,3095,false
PostAccountsAccountBankAccounts,3091,false
PostTaxTransactionsCreateReversal,3076,false
GetTreasuryInboundTransfers,3076,false
GetTreasuryOutboundTransfers,3069,false
PostTransfers,3060,true
GetBillingPortalConfigurations,3057,false
GetAccountsAccountExternalAccounts,3054,false
GetIssuingPhysicalBundles,3035,false
GetPaymentMethodDomains,3017,true
PostInvoicesInvoicePay,3007,false
PostAccountLinks,3003,true
GetReviews,2995,true
GetBillingCreditBalanceTransactions,2973,false
GetTreasuryReceivedDebits,2966,false
PostIssuingPersonalizationDesigns,2963,false
GetCoupons,2956,true
GetQuotesQuoteComputedUpfrontLineItems,2950,false
GetReportingReportRuns,2939,false
GetAccounts,2928,true
GetAppsSecrets,2927,false
GetApplicationFeesIdRefunds,2926,false
GetTransfersIdReversals,2914,false
GetBillingAlerts,2907,false
GetEntitlementsFeatures,2905,false
GetExchangeRates,2903,true
GetCustomersCustomerBankAccounts,2897,false
GetCustomersCustomerSubscriptions,2886,false
GetTaxIds,2881,true
GetCustomersCustomerSources,2880,false
PostTaxRates,2868,true
GetFinancialConnectionsAccountsAccountOwners,2866,false
DeleteSubscriptionsSubscriptionExposedId,2859,true
GetCheckoutSessionsSessionLineItems,2852,false
GetLinkedAccountsAccountOwners,2852,false
GetPaymentLinksPaymentLinkLineItems,2842,false
GetChargesChargeRefunds,2834,false
GetInvoicesInvoiceLines,2824,false
GetCreditNotesCreditNoteLines,2821,false
GetCustomersCustomerCards,2819,false
GetPaymentMethodConfigurations,2817,true
GetQuotesQuoteLineItems,2803,false
GetTaxCalculationsCalculationLineItems,2801,false
PostTaxRatesTaxRate,2794,true
GetTaxTransactionsTransactionLineItems,2783,false
DeleteCustomersCustomerSubscriptionsSubscriptionExposedId,2757,false
GetCustomersCustomerBalanceTransactions,2756,false
GetTerminalConfigurations,2754,false
GetInvoiceRenderingTemplates,2741,true
GetTaxRegistrations,2740,false
GetPaymentLinks,2728,true
GetPaymentIntentsSearch,2717,false
GetSubscriptionItems,2715,true
GetSubscriptionsSearch,2708,false
GetBillingMeters,2704,false
GetBillingCreditGrants,2702,false
GetEntitlementsActiveEntitlements,2694,false
PostTerminalReadersReaderRefundPayment,2687,false
GetCustomersSearch,2684,false
GetInvoicesSearch,2678,false
GetProductsSearch,2678,false
PostTransfersIdReversals,2674,false
GetChargesSearch,2672,false
GetPricesSearch,2666,false
GetTreasuryFinancialAccounts,2627,false
PostTerminalReadersReaderCollectInputs,2626,false
GetProductsProductFeatures,2625,false
GetCustomersCustomerTaxIds,2618,false
PostFinancialConnectionsSessions,2594,false
GetClimateOrders,2592,false
PostLinkAccountSessions,2585,true
GetSourcesSourceSourceTransactions,2580,false
GetApplePayDomains,2567,false
PostIdentityVerificationSessionsSession,2566,false
GetTaxCodes,2546,true
GetSigmaScheduledQueryRuns,2541,false
GetTestHelpersTestClocks,2539,false
GetWebhookEndpoints,2526,true
GetTerminalLocations,2525,false
GetClimateSuppliers,2515,false
GetForwardingRequests,2514,false
GetClimateProducts,2509,false
GetCountrySpecs,2501,true
PostTestHelpersTreasuryReceivedCredits,2433,false
PostClimateOrders,2429,false
PostTestHelpersTreasuryReceivedDebits,2411,false
PostSubscriptionsSubscriptionResume,2405,false
PostCustomersCustomerFundingInstructions,2368,false
PostTopups,2365,true
PostForwardingRequests,2343,false
PostCustomerSessions,2314,true
PostCustomersCustomerBalanceTransactions,2307,false
PostBillingMeters,2236,false
PostShippingRatesShippingRateToken,2236,true
PostFiles,2201,true
PostBillingMeterEvents,2187,false
PostPaymentMethodsPaymentMethodAttach,2180,false
PostIssuingAuthorizationsAuthorizationApprove,2165,false
PostIdentityVerificationSessionsSessionRedact,2163,false
PostTreasuryInboundTransfers,2162,false
PostCouponsCoupon,2147,true
PostPlansPlan,2147,true
PostTestHelpersIssuingSettlements,2102,false
PostApplicationFeesIdRefunds,2072,false
PostPromotionCodesPromotionCode,2066,true
PostTaxTransactionsCreateFromCalculation,2065,false
PostTestHelpersTerminalReadersReaderPresentPaymentMethod,2064,false
PostRadarValueLists,1998,false
PostBalanceSettings,1959,true
PostPaymentIntentsIntentCancel,1907,false
PostTestHelpersCustomersCustomerFundCashBalance,1889,false
PostPaymentIntentsIntentApplyCustomerBalance,1851,false
PostClimateOrdersOrder,1839,false
PostFileLinks,1839,true
PostTaxRegistrationsId,1838,false
PostIssuingAuthorizationsAuthorizationDecline,1826,false
PostTestHelpersTreasuryOutboundTransfersOutboundTransfer,1808,false
PostInvoicesInvoiceRemoveLines,1801,false
PostCustomersCustomerBalanceTransactionsTransaction,1800,false
PostPayoutsPayoutReverse,1790,false
PostTestHelpersTreasuryOutboundPaymentsId,1774,false
GetBillingCreditBalanceSummary,1725,false
PostTerminalReadersReader,1724,false
PostFileLinksLink,1710,true
PostTaxSettings,1710,false
PostTerminalReaders,1708,false
PostRadarValueListsValueList,1703,false
PostTestHelpersIssuingPersonalizationDesignsPersonalizationDesignReject,1699,false
DeleteSubscriptionItemsItem,1694,true
PostTransfersTransfer,1675,true
PostApplicationFeesFeeRefundsId,1667,false
PostTransfersTransferReversalsId,1665,false
GetAccountsAccountCapabilities,1653,false
PostTerminalReadersReaderProcessSetupIntent,1635,false
PostIssuingDisputesDisputeSubmit,1632,false
PostInvoicesInvoiceAttachPayment,1595,false
PostBillingAlerts,1593,false
PostAccountsAccountCapabilitiesCapability,1579,false
PostTerminalReadersReaderCollectPaymentMethod,1579,false
PostTestHelpersTreasuryInboundTransfersIdFail,1573,false
PostAppsSecrets,1553,false
GetPaymentIntentsIntent,1553,true
PostTopupsTopup,1552,true
PostPaymentMethodDomainsPaymentMethodDomainValidate,1545,false
GetSetupIntentsIntent,1545,true
PostIssuingAuthorizationsAuthorization,1541,false
PostEntitlementsFeaturesId,1536,false
PostIssuingTransactionsTransaction,1528,false
PostSetupIntentsIntentCancel,1528,false
PostRefundsRefund,1523,true
PostTreasuryFinancialAccountsFinancialAccountClose,1523,false
PostTestHelpersTreasuryOutboundTransfersOutboundTransferReturn,1518,false
PostSubscriptionSchedulesScheduleCancel,1517,false
PostBillingCreditGrantsId,1515,false
PostPayoutsPayout,1509,true
PostTerminalReadersReaderProcessPaymentIntent,1508,false
PostTerminalReadersReaderSetReaderDisplay,1501,false
PostTerminalConnectionTokens,1481,false
PostIssuingSettlementsSettlement,1480,false
PostTestHelpersTreasuryOutboundPaymentsIdReturn,1479,false
PostInvoicesInvoiceVoid,1475,false
PostTestHelpersIssuingAuthorizationsAuthorizationIncrement,1460,false
PostSubscriptionSchedulesScheduleRelease,1453,false
GetReportingReportTypes,1432,false
PostEphemeralKeys,1431,true
PostPaymentIntentsIntentVerifyMicrodeposits,1426,false
GetAppsSecretsFind,1422,false
PostSetupIntentsIntentVerifyMicrodeposits,1416,false
PostBillingMeterEventAdjustments,1412,false
PostCreditNotesId,1399,true
PostSubscriptionsSubscriptionMigrate,1391,false
PostTreasuryCreditReversals,1391,false
PostTestHelpersTestClocksTestClockAdvance,1389,false
PostTreasuryDebitReversals,1383,false
PostAccountsAccountReject,1372,false
PostInvoicesInvoiceSend,1362,false
PostEntitlementsFeatures,1361,false
PostInvoicesInvoiceFinalize,1321,false
PostSigmaSavedQueriesId,1311,false
PostAppsSecretsDelete,1305,false
PostFinancialConnectionsAccountsAccountUnsubscribe,1294,false
PostClimateOrdersOrderCancel,1292,false
PostFinancialConnectionsAccountsAccountSubscribe,1280,false
GetSourcesSource,1270,true
DeleteAccountsAccount,1265,true
GetSourcesSourceSourceTransactionsSourceTransaction,1264,false
PostTestHelpersIssuingAuthorizationsAuthorizationFraudChallengesRespond,1260,false
PostFinancialConnectionsAccountsAccountRefresh,1250,false
PostCustomersCustomerBankAccountsIdVerify,1245,false
PostTestHelpersIssuingAuthorizationsAuthorizationReverse,1245,false
PostCustomersCustomerSourcesIdVerify,1240,false
PostTerminalReadersReaderConfirmPaymentIntent,1239,false
PostLinkedAccountsAccountRefresh,1236,false
GetCustomersCustomerBankAccountsId,1213,false
PostInvoiceRenderingTemplatesTemplateArchive,1202,false
PostIdentityVerificationSessionsSessionCancel,1200,false
GetInvoiceRenderingTemplatesTemplate,1198,true
PostCustomersCustomerCashBalance,1194,false
GetApplicationFeesFeeRefundsId,1192,false
GetCustomersCustomerCashBalanceTransactionsTransaction,1188,false
GetIdentityVerificationSessionsSession,1187,false
PostTestHelpersIssuingTransactionsTransactionRefund,1181,false
GetCustomersCustomerBalanceTransactionsTransaction,1180,false
GetTransfersTransferReversalsId,1180,false
GetExchangeRatesRateId,1176,true
GetProductsProductFeaturesId,1170,false
PostPaymentMethodDomainsPaymentMethodDomain,1169,true
PostPaymentMethodDomains,1161,true
PostProductsProductFeatures,1156,false
GetRadarEarlyFraudWarningsEarlyFraudWarning,1155,false
GetCustomersCustomerCardsId,1152,false
PostRadarValueListItems,1148,false
GetChargesCharge,1145,true
PostDisputesDisputeClose,1143,false
GetAccountsAccountExternalAccountsId,1133,false
PostTestHelpersTerminalReadersReaderSucceedInputCollection,1131,false
GetAccountsAccountBankAccountsId,1129,false
PostCheckoutSessionsSessionExpire,1127,false
GetPaymentMethodsPaymentMethod,1127,true
GetPromotionCodesPromotionCode,1127,true
DeleteAccountsAccountPersonsPerson,1117,false
DeleteAccountsAccountPeoplePerson,1116,false
GetSourcesSourceMandateNotificationsMandateNotification,1115,false
GetTreasuryOutboundTransfersOutboundTransfer,1112,false
PostAccountsAccountLoginLinks,1111,false
GetCustomersCustomerPaymentMethodsPaymentMethod,1099,false
PostIssuingTokensToken,1098,false
GetCustomersCustomerSubscriptionsSubscriptionExposedId,1092,false
GetTreasuryCreditReversalsCreditReversal,1092,false
GetSubscriptionSchedulesSchedule,1088,true
GetFilesFile,1083,true
PostTestHelpersTreasuryOutboundTransfersOutboundTransferFail,1083,false
PostTestHelpersTreasuryOutboundTransfersOutboundTransferPost,1083,false
GetTransfersTransfer,1082,true
PostChargesChargeRefundsRefund,1076,false
GetTreasuryOutboundPaymentsId,1076,false
PostTestHelpersTreasuryInboundTransfersIdReturn,1074,false
GetQuotesQuotePdf,1072,false
PostTestHelpersIssuingPersonalizationDesignsPersonalizationDesignDeactivate,1071,false
DeleteCustomersCustomerBankAccountsId,1070,false
GetTopupsTopup,1069,true
GetAccountsAccountCapabilitiesCapability,1068,false
DeleteCustomersCustomerSourcesId,1065,false
PostTestHelpersIssuingPersonalizationDesignsPersonalizationDesignActivate,1065,false
DeleteCustomersCustomerCardsId,1063,false
PostFinancialConnectionsAccountsAccountDisconnect,1063,false
GetProductsId,1062,true
PostTestHelpersTreasuryInboundTransfersIdSucceed,1058,false
GetPayoutsPayout,1054,true
PostQuotesQuoteFinalize,1054,false
GetBalanceTransactionsId,1050,true
PostLinkedAccountsAccountDisconnect,1049,false
PostTestHelpersTreasuryOutboundPaymentsIdFail,1049,false
PostTestHelpersTreasuryOutboundPaymentsIdPost,1049,false
GetReportingReportTypesReportType,1048,false
GetCustomersCustomerTaxIdsId,1047,false
PostRefundsRefundCancel,1047,false
GetBalanceHistoryId,1045,false
GetTerminalConfigurationsConfiguration,1044,false
PostPaymentMethodsPaymentMethodDetach,1042,false
PostTestHelpersIssuingCardsCardShippingSubmit,1040,false
PostTestHelpersTestClocks,1040,false
GetApplicationFeesId,1035,true
GetTreasuryFinancialAccountsFinancialAccountFeatures,1032,false
GetTreasuryReceivedCreditsId,1026,false
GetBillingCreditBalanceTransactionsId,1025,false
PostSourcesSourceVerify,1024,false
GetAccountsAccountPersonsPerson,1023,false
GetBillingPortalConfigurationsConfiguration,1023,false
GetAccountsAccountPeoplePerson,1022,false
GetEventsId,1020,true
GetTreasuryReceivedDebitsId,1019,false
GetCustomersCustomerSourcesId,1015,false
PostPayoutsPayoutCancel,1013,false
PostTestHelpersIssuingSettlementsSettlementComplete,1013,false
GetFinancialConnectionsTransactionsTransaction,1011,false
GetTerminalLocationsLocation,1009,false
GetCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount,1008,false
GetTaxCodesId,1007,true
GetIssuingPersonalizationDesignsPersonalizationDesign,1006,false
GetBalance,1001,true
GetPaymentMethodDomainsPaymentMethodDomain,1001,true
GetEntitlementsActiveEntitlementsId,997,false
GetClimateOrdersOrder,996,false
GetTerminalReadersReader,995,false
PostTestHelpersTerminalReadersReaderTimeoutInputCollection,995,false
PostInvoicesInvoiceMarkUncollectible,994,false
PostInvoiceRenderingTemplatesTemplateUnarchive,992,false
GetFinancialConnectionsAccountsAccount,990,false
